sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Agent 3;Utility 1;Utility 2;Utility 3;Disc. Util. 1;Disc. Util. 2;Disc. Util. 3;Profile 1;Profile 2;Profile 3
0,206;148;;180rounds;Yes;No;3;0,65833;0,91634;0,05472;0,13643;2,24315;BoulwareNegotiationParty@0;BoulwareNegotiationParty@1;BoulwareNegotiationParty@2;0.6583333333333334;0.6684719456540195;0.9163397396897104;0.6583333333333334;0.6684719456540195;0.9163397396897104;party1_utility.xml;party3_utility.xml;party2_utility.xml
0,119;132;;180rounds;Yes;No;3;0,62667;0,86811;0,00000;0,24562;2,31099;ConcederNegotiationParty@3;BoulwareNegotiationParty@4;BoulwareNegotiationParty@5;0.6266666666666667;0.8681093397144823;0.8162157250865434;0.6266666666666667;0.8681093397144823;0.8162157250865434;party1_utility.xml;party3_utility.xml;party2_utility.xml
0,184;132;;180rounds;Yes;No;3;0,62667;0,86811;0,00000;0,24562;2,31099;Group6@6;BoulwareNegotiationParty@7;BoulwareNegotiationParty@8;0.6266666666666667;0.8681093397144823;0.8162157250865434;0.6266666666666667;0.8681093397144823;0.8162157250865434;party1_utility.xml;party3_utility.xml;party2_utility.xml
0,122;135;;180rounds;Yes;No;3;0,62639;0,88030;0,00000;0,10324;2,29169;BoulwareNegotiationParty@9;ConcederNegotiationParty@10;BoulwareNegotiationParty@11;0.7850000000000001;0.6263910955366777;0.8803024977828533;0.7850000000000001;0.6263910955366777;0.8803024977828533;party1_utility.xml;party3_utility.xml;party2_utility.xml
0,030;34;;180rounds;Yes;No;3;0,58562;1,00000;0,00000;0,19642;2,24396;ConcederNegotiationParty@12;ConcederNegotiationParty@13;BoulwareNegotiationParty@14;0.6583333333333333;0.5856226065195247;1.0;0.6583333333333333;0.5856226065195247;1.0;party1_utility.xml;party3_utility.xml;party2_utility.xml
0,034;34;;180rounds;Yes;No;3;0,58562;1,00000;0,00000;0,19642;2,24396;Group6@15;ConcederNegotiationParty@16;BoulwareNegotiationParty@17;0.6583333333333333;0.5856226065195247;1.0;0.6583333333333333;0.5856226065195247;1.0;party1_utility.xml;party3_utility.xml;party2_utility.xml
0,125;135;;180rounds;Yes;No;3;0,62639;0,88030;0,00000;0,10324;2,29169;BoulwareNegotiationParty@18;Group6@19;BoulwareNegotiationParty@20;0.7850000000000001;0.6263910955366777;0.8803024977828533;0.7850000000000001;0.6263910955366777;0.8803024977828533;party1_utility.xml;party3_utility.xml;party2_utility.xml
0,024;24;;180rounds;Yes;No;3;0,58562;1,00000;0,00000;0,19642;2,24396;ConcederNegotiationParty@21;Group6@22;BoulwareNegotiationParty@23;0.6583333333333333;0.5856226065195247;1.0;0.6583333333333333;0.5856226065195247;1.0;party1_utility.xml;party3_utility.xml;party2_utility.xml
0,004;4;;180rounds;Yes;No;3;0,58562;1,00000;0,00000;0,19642;2,24396;Group6@24;Group6@25;BoulwareNegotiationParty@26;0.6583333333333333;0.5856226065195247;1.0;0.6583333333333333;0.5856226065195247;1.0;party1_utility.xml;party3_utility.xml;party2_utility.xml
0,122;133;;180rounds;Yes;No;3;0,75837;0,80821;0,00000;0,19343;2,36742;BoulwareNegotiationParty@27;BoulwareNegotiationParty@28;ConcederNegotiationParty@29;0.8008333333333335;0.8082124369340867;0.7583749102078432;0.8008333333333335;0.8082124369340867;0.7583749102078432;party1_utility.xml;party3_utility.xml;party2_utility.xml
0,082;62;;180rounds;Yes;No;3;0,43241;1,00000;0,00000;0,64373;1,91991;ConcederNegotiationParty@30;BoulwareNegotiationParty@31;ConcederNegotiationParty@32;0.48749999999999993;0.9999999999999999;0.43241457513409964;0.48749999999999993;0.9999999999999999;0.43241457513409964;party1_utility.xml;party3_utility.xml;party2_utility.xml
0,058;62;;180rounds;Yes;No;3;0,43241;1,00000;0,00000;0,64373;1,91991;Group6@33;BoulwareNegotiationParty@34;ConcederNegotiationParty@35;0.48749999999999993;0.9999999999999999;0.43241457513409964;0.48749999999999993;0.9999999999999999;0.43241457513409964;party1_utility.xml;party3_utility.xml;party2_utility.xml
0,076;84;;180rounds;Yes;No;3;0,49465;0,97500;0,00000;0,48526;2,08197;BoulwareNegotiationParty@36;ConcederNegotiationParty@37;ConcederNegotiationParty@38;0.975;0.6123211348649507;0.49464690002105177;0.975;0.6123211348649507;0.49464690002105177;party1_utility.xml;party3_utility.xml;party2_utility.xml
0,019;19;;180rounds;Yes;No;3;0,70259;0,80600;0,08720;0,13231;2,24608;ConcederNegotiationParty@39;ConcederNegotiationParty@40;ConcederNegotiationParty@41;0.7375;0.7025852383939939;0.805997928611276;0.7375;0.7025852383939939;0.805997928611276;party1_utility.xml;party3_utility.xml;party2_utility.xml
0,007;7;;180rounds;Yes;No;3;0,69000;0,85225;0,00000;0,18084;2,39353;Group6@42;ConcederNegotiationParty@43;ConcederNegotiationParty@44;0.69;0.8512769996675457;0.8522529669934003;0.69;0.8512769996675457;0.8522529669934003;party1_utility.xml;party3_utility.xml;party2_utility.xml
0,086;84;;180rounds;Yes;No;3;0,49465;0,97500;0,00000;0,48526;2,08197;BoulwareNegotiationParty@45;Group6@46;ConcederNegotiationParty@47;0.975;0.6123211348649507;0.49464690002105177;0.975;0.6123211348649507;0.49464690002105177;party1_utility.xml;party3_utility.xml;party2_utility.xml
0,015;14;;180rounds;Yes;No;3;0,68753;0,76434;0,09362;0,17229;2,19436;ConcederNegotiationParty@48;Group6@49;ConcederNegotiationParty@50;0.7425;0.6875252038638495;0.7643395831284985;0.7425;0.6875252038638495;0.7643395831284985;party1_utility.xml;party3_utility.xml;party2_utility.xml
0,006;7;;180rounds;Yes;No;3;0,62667;0,85161;0,07069;0,17763;2,17227;Group6@51;Group6@52;ConcederNegotiationParty@53;0.6266666666666667;0.6939944914220246;0.8516130107848354;0.6266666666666667;0.6939944914220246;0.8516130107848354;party1_utility.xml;party3_utility.xml;party2_utility.xml
